año,variableA
1901,24.36844167
1902,24.36501667
1903,24.36756667
1904,24.3626
1905,24.366
1906,24.364675
1907,24.3617
1908,24.36643333
1909,24.36235833
1910,24.360775
1911,24.36852727
1912,24.37519167
1913,24.36615833
1914,24.376375
1915,24.766825
1916,24.49810833
1917,24.14383333
1918,24.189775
1919,24.36405833
1920,24.36263333
1921,24.043825
1922,24.05699167
1922,24.08450833
1923,24.05699167
1924,24.08450833
1925,24.2611
1926,24.077975
1927,24.54260833
1928,24.10395833
1929,24.20805833
1930,24.25189167
1931,24.311175
1932,24.56164167
1933,24.26698333
1934,24.26006667
1935,24.19083333
1936,24.30785833
1937,24.55701667
1938,24.50051667
1939,24.18846667
1940,24.30878333
1941,24.25288333
1942,24.67494167
1943,24.109475
1944,23.96155
1945,24.18469167
1946,24.23335
1947,24.20051667
1948,24.39933333
1949,24.51975
1950,24.23673333
1951,24.01539167
1952,24.331025
1953,24.44740833
1954,24.443025
1955,23.85298333
1956,24.01026667
1957,23.94744167
1958,24.64908333
1959,25.066025
1960,24.70859167
1961,24.65710833
1962,24.68938333
1963,24.61060833
1964,24.77933333
1965,24.37153333
1966,24.55946667
1967,24.56964167
1968,24.230425
1969,24.200825
1970,24.6023
1971,24.418425
1972,23.9425
1973,24.53900833
1974,24.40278333
1975,23.87038333
1976,23.82454167
1977,24.036125
1978,24.44305833
1979,24.34048333
1980,24.42235
1981,24.590975
1982,24.37795833
1983,24.45330833
1984,24.97580833
1985,24.15654167
1986,24.08443333
1987,24.25730833
1988,24.85850833
1989,24.54399167
1990,23.94270833
1991,24.3531
1992,24.54563333
1993,24.67561667
1994,24.558825
1995,24.38618333
1996,24.59575
1997,24.22359167
1998,24.58591667
1999,24.894725
2000,24.19259167
2001,24.18759167
2002,24.51168333
2003,24.68451667
2004,24.724725
2005,24.54283333
2006,24.65679167
2007,24.51201667
2008,24.41920833
2009,24.178225
2010,24.65594167
2011,24.85333333
2012,24.63505
2013,24.63629167
2014,24.7245
2015,24.80075833
2016,25.183225
